timestamp,request_count,rps,prediction,probability,status
2025-02-24T14:23:19.471792,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:21.543062,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:23.599735,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:25.667074,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:27.719067,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:29.783814,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:31.844652,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:33.919604,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:36.009963,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:23:39.264633,0,0,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:23:41.571492,1,0,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:23:44.872663,0,1,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:23:47.152743,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:23:49.412541,0,1,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:23:51.679032,1,0,Normal Traffic,0.02,Normal Traffic
2025-02-24T14:23:53.912147,0,1,Normal Traffic,0.07,Normal Traffic
2025-02-24T14:23:56.159740,1,0,Normal Traffic,0.25,Normal Traffic
2025-02-24T14:23:58.411979,0,1,Normal Traffic,0.18,Normal Traffic
2025-02-24T14:24:00.694234,1,0,DDoS Attack,0.76,DDoS Attack Detected
2025-02-24T14:24:02.980040,0,1,Normal Traffic,0.28,Normal Traffic
2025-02-24T14:24:05.260094,1,0,Normal Traffic,0.07,Normal Traffic
2025-02-24T14:24:07.521620,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:24:09.818718,0,1,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:24:12.071625,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:24:14.316841,0,1,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:24:16.579638,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:24:18.835619,0,1,Normal Traffic,0.14,Normal Traffic
2025-02-24T14:24:21.090519,1,0,Normal Traffic,0.18,Normal Traffic
2025-02-24T14:24:23.367040,0,1,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:24:25.628007,1,0,Normal Traffic,0.15,Normal Traffic
2025-02-24T14:24:27.885570,0,1,Normal Traffic,0.25,Normal Traffic
2025-02-24T14:24:30.141924,1,0,DDoS Attack,0.82,DDoS Attack Detected
2025-02-24T14:24:32.409943,0,1,DDoS Attack,0.64,DDoS Attack Detected
2025-02-24T14:24:34.661069,1,0,DDoS Attack,0.95,DDoS Attack Detected
